station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Woldingham,66150,63860,92950,0,WOH,Southern,Surrey
Wolverhampton,843230,2154298,455792,187276,WVH,North West and Central,Wolverhampton
Wolverton,53948,91084,64782,0,WOL,North West and Central,Milton Keynes
Wombwell,79018,47860,33304,0,WOM,Eastern,Barnsley
Wood End,2718,2960,3748,0,WDE,North West and Central,Warwickshire
Wood Street,416348,732602,119416,0,WST,Eastern,Waltham Forest
Woodbridge,28734,130006,9954,0,WDB,Eastern,Suffolk
Woodgrange Park,203784,321890,205868,0,WGR,Eastern,Newham
Woodhall,10098,15024,2804,0,WDL,Scotland,Inverclyde
Woodhouse,10446,8126,2034,0,WDH,Eastern,Sheffield
Woodlesford,90526,54428,20202,0,WDS,Eastern,Leeds
Woodley,18698,13364,8830,0,WLY,North West and Central,Stockport
Woodmansterne,31870,43908,13012,0,WME,Southern,Croydon
Woodsmoor,64946,58884,45432,0,WSR,North West and Central,Stockport
Wool,31174,89122,6946,0,WOO,Southern,Dorset
Woolston,30376,38148,23298,0,WLS,Southern,Southampton
Woolwich Arsenal,830560,1355208,618772,0,WWA,Southern,Greenwich
Woolwich Dockyard,111386,168786,95704,0,WWD,Southern,Greenwich
Wootton Wawen,2970,5014,2550,0,WWW,North West and Central,Warwickshire
Worcester Foregate Street,435780,581870,340572,256306,WOF,Wales and Western,Worcestershire
Worcester Park,346696,454602,178606,0,WCP,Southern,Kingston upon Thames
Worcester Shrub Hill,131398,175450,102692,175791,WOS,Wales and Western,Worcestershire
Worcestershire Parkway,147182,151730,15982,49132,WOP,Wales and Western,Worcestershire
Workington,53758,113524,17156,0,WKG,North West and Central,Cumbria
Worksop,115786,217854,31644,24377,WRK,Eastern,Nottinghamshire
Worle,85332,126952,20056,0,WOR,Wales and Western,North Somerset
Worplesdon,42398,37516,20778,0,WPL,Southern,Surrey
Worstead,9048,7158,6064,0,WRT,Eastern,Norfolk
Worthing,353666,990012,295400,66718,WRH,Southern,West Sussex
Wrabness,4182,6742,6356,0,WRB,Eastern,Essex
Wraysbury,20588,24036,6378,0,WRY,Southern,Windsor and Maidenhead
Wrenbury,4436,1346,0,0,WRE,Wales and Western,Cheshire East
Wressle,202,268,32,0,WRS,Eastern,East Riding of Yorkshire
Wrexham Central,10118,2282,794,0,WXC,Wales and Western,Wrexham
Wrexham General,222110,161892,16340,6627,WRX,Wales and Western,Wrexham
Wye,44614,61890,62150,0,WYE,Southern,Kent
Wylam,20002,46382,9282,0,WYM,Eastern,Northumberland
Wylde Green,87364,137696,77116,0,WYL,North West and Central,Birmingham
Wymondham,43532,92068,14866,0,WMD,Eastern,Norfolk
Wythall,13558,22596,10194,0,WYT,North West and Central,Worcestershire
Yalding,7716,12858,9394,0,YAL,Southern,Kent
Yardley Wood,72968,115656,66136,0,YRD,North West and Central,Birmingham
Yarm,23754,71478,7668,0,YRM,Eastern,Stockton-on-Tees
Yate,67938,90352,18832,0,YAE,Wales and Western,South Gloucestershire
Yatton,89750,161728,81258,0,YAT,Wales and Western,North Somerset
Yeoford,9410,5104,1928,0,YEO,Wales and Western,Devon
Yeovil Junction,12560,112506,5810,3081,YVJ,Southern,Somerset
Yeovil Pen Mill,30272,88530,1940,2321,YVP,Southern,Somerset
Yetminster,1678,3624,0,0,YET,Southern,Dorset
Ynyswen,8020,234,2644,0,YNW,Wales and Western,Rhondda Cynon Taf
Yoker,34778,62250,11796,0,YOK,Scotland,West Dunbartonshire
York,490014,7215424,386108,495140,YRK,Eastern,York
Yorton,5038,568,888,0,YRT,Wales and Western,Shropshire
Ystrad Mynach,104160,4732,27194,0,YSM,Wales and Western,Caerphilly
Ystrad Rhondda,27300,1276,5520,0,YSR,Wales and Western,Rhondda Cynon Taf
