station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Goostrey,10188,13104,890,0,GTR,North West and Central,Cheshire East
Gordon Hill,279354,330984,102180,0,GDH,Eastern,Enfield
Gorebridge,26648,31398,1980,0,GBG,Scotland,Midlothian
Goring and Streatley,46216,144806,38392,0,GOR,Wales and Western,Oxfordshire
Goring-By-Sea,99128,185518,140660,0,GBS,Southern,West Sussex
Gorton,19692,18030,14244,0,GTO,North West and Central,Manchester
Gospel Oak,643844,1115402,246396,1353754,GPO,Eastern,Camden
Gourock,75250,147612,24810,0,GRK,Scotland,Inverclyde
Gowerton,57868,29624,17834,0,GWN,Wales and Western,Swansea
Goxhill,2856,4730,142,0,GOX,Eastern,North Lincolnshire
Grange Park,105878,125372,19464,0,GPK,Eastern,Enfield
Grange-Over-Sands,19078,104604,8048,0,GOS,North West and Central,Cumbria
Grangetown (Cardiff),143274,4814,24098,3406,GTN,Wales and Western,Cardiff
Grantham,83740,1013486,94432,174960,GRA,Eastern,Lincolnshire
Grateley,24550,62962,34980,0,GRT,Southern,Hampshire
Gravelly Hill,88318,101270,89190,0,GVH,North West and Central,Birmingham
Gravesend,546196,838800,506766,106148,GRV,Southern,Kent
Grays,948250,1103600,616776,101990,GRY,Eastern,Thurrock
Great Ayton,1338,7324,0,0,GTA,Eastern,North Yorkshire
Great Bentley,13238,17886,19640,0,GRB,Eastern,Essex
Great Chesterford,28304,30552,19098,0,GRC,Eastern,Essex
Great Coates,2356,2210,40,0,GCT,Eastern,North East Lincolnshire
Great Malvern,119650,123016,82280,25,GMV,Wales and Western,Worcestershire
Great Missenden,111276,113594,63306,0,GMN,North West and Central,Buckinghamshire
Great Yarmouth,59978,277934,9942,53,GYM,Eastern,Norfolk
Green Lane,169626,117152,69096,0,GNL,North West and Central,Wirral
Green Road,1964,3318,1148,0,GNR,North West and Central,Cumbria
Greenbank,47540,50388,73254,0,GBK,North West and Central,Cheshire West and Chester
Greenfaulds,21058,25986,8362,0,GRL,Scotland,North Lanarkshire
Greenfield,100844,134492,43586,0,GNF,North West and Central,Oldham
Greenford,44328,45958,9992,0,GFD,Wales and Western,Ealing
Greenhithe for Bluewater,167366,203510,204296,0,GNH,Southern,Kent
Greenock Central,38558,87324,25344,523,GKC,Scotland,Inverclyde
Greenock West,60678,114490,42592,0,GKW,Scotland,Inverclyde
Greenwich,602944,1052308,405556,0,GNW,Southern,Greenwich
Gretna Green,6164,23202,118,0,GEA,North West and Central,Dumfries and Galloway
Grimsby Docks,846,734,498,0,GMD,Eastern,North East Lincolnshire
Grimsby Town,46296,262360,9830,13676,GMB,Eastern,North East Lincolnshire
Grindleford,20728,71756,1138,0,GRN,North West and Central,Derbyshire
Grosmont,944,8200,2310,0,GMT,Eastern,North Yorkshire
Grove Park,499560,691066,393010,216340,GRP,Southern,Lewisham
Guide Bridge,77608,79612,46816,3611,GUI,North West and Central,Tameside
Guildford,1385848,2270324,627668,514938,GLD,Southern,Surrey
Guiseley,304552,229868,176262,0,GSY,Eastern,Leeds
Gunnersbury,476268,585890,255728,0,GUN,Eastern,Hounslow
Gunnislake,3298,33346,15696,0,GSL,Wales and Western,Cornwall
Gunton,6784,13120,2324,0,GNT,Eastern,Norfolk
Gwersyllt,15470,958,3004,0,GWE,Wales and Western,Wrexham
Gypsy Lane,8862,16918,4276,0,GYP,Eastern,Redcar and Cleveland
Habrough,9940,24430,4012,184,HAB,Eastern,North East Lincolnshire
Hackbridge,196294,231248,138192,0,HCB,Southern,Sutton
Hackney Central,957568,1969276,466712,1496087,HKC,Eastern,Hackney
Hackney Downs,716058,1390852,280562,1438595,HAC,Eastern,Hackney
Hackney Wick,688176,1430724,221906,649,HKW,Eastern,Hackney
Haddenham and Thame Parkway,178578,242050,101122,0,HDM,North West and Central,Buckinghamshire
Haddiscoe,3080,5140,866,0,HAD,Eastern,Norfolk
Hadfield,77136,98496,62778,0,HDF,North West and Central,Derbyshire
Hadley Wood,91794,113442,21110,0,HDW,Eastern,Enfield
Hag Fold,17344,18970,10580,0,HGF,North West and Central,Wigan
Haggerston,719262,1231908,191542,0,HGG,Eastern,Hackney
Hagley,39740,43320,217186,0,HAG,North West and Central,Worcestershire
Hairmyres,88726,160582,60012,0,HMY,Scotland,South Lanarkshire
Hale (Manchester),30406,32114,22622,0,HAL,North West and Central,Trafford
Halesworth,28126,51520,5146,0,HAS,Eastern,Suffolk
Halewood,16440,29256,9354,0,HED,North West and Central,Knowsley
Halifax,429032,600366,135612,49706,HFX,Eastern,Calderdale
Hall Green,65072,91588,61690,0,HLG,North West and Central,Birmingham
Hall Road,31908,244270,36136,0,HLR,North West and Central,Sefton
Halling,17372,17108,28786,0,HAI,Southern,Medway
Hall-I'-Th'-Wood,42310,37970,28006,0,HID,North West and Central,Bolton
Haltwhistle,20942,42446,4972,0,HWH,Eastern,Northumberland
Ham Street,9714,29084,18688,0,HMT,Southern,Kent
Hamble,23058,26560,22664,0,HME,Southern,Hampshire
Hamilton Central,105520,210482,62964,2603,HNC,Scotland,South Lanarkshire
Hamilton West,104110,185624,54976,0,HNW,Scotland,South Lanarkshire
Hammerton,6688,16118,3146,0,HMM,Eastern,North Yorkshire
Hampden Park (Sussex),140836,303864,181162,101430,HMD,Southern,East Sussex
Hampstead Heath,805324,1398558,382956,0,HDH,Eastern,Camden
Hampton (London),202324,239422,84670,0,HMP,Southern,Richmond upon Thames
Hampton Court,298856,480992,84574,0,HMC,Southern,Surrey
Hampton Wick,178400,272576,58514,0,HMW,Southern,Richmond upon Thames
Hampton-In-Arden,27320,42980,23360,0,HIA,North West and Central,Solihull
Hamstead (Birmingham),54256,65276,30878,0,HSD,North West and Central,Birmingham
Hamworthy,31344,59758,12278,0,HAM,Southern,"Bournemouth, Christchurch and Poole"
Hanborough,58292,85864,34212,0,HND,Wales and Western,Oxfordshire
Handforth,90286,56408,49110,0,HTH,North West and Central,Cheshire East
Hanwell,198192,287506,55394,0,HAN,Wales and Western,Ealing
Hapton,4678,7288,2364,0,HPN,North West and Central,Lancashire
Harlech,19910,3698,79894,0,HRL,Wales and Western,Gwynedd
Harlesden,362332,691912,216686,0,HDN,Eastern,Brent
Harling Road,574,224,180,0,HRD,Eastern,Norfolk
Harlington (Bedfordshire),45748,111050,41700,0,HLN,Eastern,Central Bedfordshire
Harlow Mill,71784,54444,39018,0,HWM,Eastern,Essex
Harlow Town,469940,580354,263062,0,HWN,Eastern,Essex
Harold Wood,728924,1021766,247372,0,HRO,Eastern,Havering
Harpenden,422592,925232,268492,3027,HPD,Eastern,Hertfordshire
Harrietsham,15432,21756,27870,0,HRM,Southern,Kent
Harringay,239830,349662,87838,0,HGY,Eastern,Haringey
Harringay Green Lanes,281234,493668,250320,0,HRY,Eastern,Haringey
Harrington,9254,12358,4956,0,HRR,North West and Central,Cumbria
Harrogate,256792,835936,119118,1577,HGT,Eastern,North Yorkshire
Harrow and Wealdstone,640086,1384826,340664,126968,HRW,North West and Central,Harrow
Harrow-On-The-Hill,628468,931186,71616,0,HOH,North West and Central,Harrow
Hartford (Cheshire),48440,109894,6060,0,HTF,North West and Central,Cheshire West and Chester
Hartlebury,15318,6740,15944,0,HBY,North West and Central,Worcestershire
Hartlepool,115486,360656,53488,774,HPL,Eastern,Hartlepool
Hartwood,2484,4458,544,0,HTW,Scotland,North Lanarkshire
Harwich International,19872,29128,25476,0,HPQ,Eastern,Essex
Harwich Town,16114,37298,26566,0,HWC,Eastern,Essex
Haslemere,229402,431216,288982,52154,HSL,Southern,Surrey
Hassocks,177938,435998,207450,0,HSK,Southern,West Sussex
Hastings,253312,968672,468894,41519,HGS,Southern,East Sussex
Hatch End,104642,361092,20328,0,HTE,North West and Central,Harrow
Hatfield (Herts),543924,842922,165440,0,HAT,Eastern,Hertfordshire
Hatfield and Stainforth,14710,21050,9290,7544,HFS,Eastern,Doncaster
Hatfield Peverel,61374,73396,89114,0,HAP,Eastern,Essex
Hathersage,24682,41642,1450,0,HSG,North West and Central,Derbyshire
Hattersley,24306,30192,14630,0,HTY,North West and Central,Tameside
Hatton,9382,7294,35060,0,HTN,North West and Central,Warwickshire
Havant,358826,917682,354144,228023,HAV,Southern,Hampshire
Havenhouse,172,208,0,0,HVN,Eastern,Lincolnshire
Haverfordwest,34642,49328,1096,0,HVF,Wales and Western,Pembrokeshire
Hawarden,15408,776,1120,0,HWD,Wales and Western,Flintshire
Hawarden Bridge,1154,22,92,0,HWB,Wales and Western,Flintshire
Hawkhead,30030,64594,19934,0,HKH,Scotland,Renfrewshire
Haydon Bridge,10404,20744,4686,0,HDB,Eastern,Northumberland
Haydons Road,81664,96144,43350,0,HYR,Southern,Merton
Hayes (Kent),202028,256406,75700,0,HYS,Southern,Bromley
Hayes and Harlington,906656,1704742,557342,52734,HAY,Wales and Western,Hillingdon
Hayle,12092,90050,16370,0,HYL,Wales and Western,Cornwall
Haymarket,574494,840052,86126,365102,HYM,Scotland,City of Edinburgh
Haywards Heath,563412,1316836,694852,269683,HHE,Southern,West Sussex
Hazel Grove,141194,159956,58896,2468,HAZ,North West and Central,Stockport
Headcorn,70756,171420,119144,0,HCN,Southern,Kent
Headingley,139030,103204,38074,0,HDY,Eastern,Leeds
Headstone Lane,93932,220638,31528,0,HDL,North West and Central,Harrow
Heald Green,105640,113672,45718,12,HDG,North West and Central,Stockport
Healing,2228,2500,80,0,HLI,Eastern,North East Lincolnshire
Heath High Level,177066,7184,37662,0,HHL,Wales and Western,Cardiff
Heath Low Level,21944,796,6274,0,HLL,Wales and Western,Cardiff
Heathrow Terminal 5 (Rail Station Only),694164,366968,18598,0,HWV,Wales and Western,Hillingdon
Heathrow Terminals 2 and 3 (Rail Station Only),814888,430788,21832,0,HXX,Wales and Western,Hillingdon
Heaton Chapel,180828,166848,64906,0,HTC,North West and Central,Stockport
Hebden Bridge,200190,313896,55634,26139,HBD,Eastern,Calderdale
Heckington,20214,9224,8396,0,HEC,Eastern,Lincolnshire
Hedge End,70844,150030,53140,0,HDE,Southern,Hampshire
Hednesford,51168,82512,19258,0,HNF,North West and Central,Staffordshire
Heighington,9550,7786,11736,0,HEI,Eastern,County Durham
Helensburgh Central,104406,221838,44526,43,HLC,Scotland,Argyll and Bute
Helensburgh Upper,1948,4138,830,1073,HLU,Scotland,Argyll and Bute
Hellifield,4044,23060,1200,1500,HLD,North West and Central,North Yorkshire
Helmsdale,2234,934,0,0,HMS,Scotland,Highland
Helsby,40938,30062,2106,12679,HSB,North West and Central,Cheshire West and Chester
Hemel Hempstead,302232,608180,124910,14534,HML,North West and Central,Hertfordshire
Hendon,196874,274686,189972,0,HEN,Eastern,Barnet
Hengoed,52090,2256,18984,0,HNG,Wales and Western,Caerphilly
Henley-In-Arden,18376,26370,22846,0,HNL,North West and Central,Warwickshire
Henley-On-Thames,138790,211666,72024,0,HOT,Wales and Western,Oxfordshire
Hensall,126,24,0,0,HEL,Eastern,North Yorkshire
Hereford,249478,447462,305656,31474,HFD,Wales and Western,Herefordshire
Herne Bay,94960,227072,312854,0,HNB,Southern,Kent
Herne Hill,516600,805048,284924,581099,HNH,Southern,Lambeth
Hersham,161506,147054,138406,0,HER,Southern,Surrey
Hertford East,229562,335194,109428,0,HFE,Eastern,Hertfordshire
Hertford North,219972,321190,104856,2590,HFN,Eastern,Hertfordshire
Hessle,13088,16530,4676,0,HES,Eastern,East Riding of Yorkshire
Heswall,11288,33596,6796,0,HSW,North West and Central,Wirral
Hever,6212,18268,5304,0,HEV,Southern,Kent
Heworth,11804,10638,4970,0,HEW,Eastern,Gateshead
Hexham,63958,194326,28518,4904,HEX,Eastern,Northumberland
Heyford,4940,14612,3658,0,HYD,North West and Central,Oxfordshire
Heysham Port,1034,7370,0,0,HHB,North West and Central,Lancashire
High Brooms,200496,362424,212664,0,HIB,Southern,Kent
High Street (Glasgow),116616,214160,37988,0,HST,Scotland,Glasgow City
High Wycombe,700504,667060,256022,59927,HWY,North West and Central,Buckinghamshire
Higham,31040,29794,34230,3,HGM,Southern,Kent
Highams Park,636294,1009840,182306,0,HIP,Eastern,Waltham Forest
Highbridge and Burnham,64600,112658,17588,0,HIG,Wales and Western,Somerset
Highbury and Islington,5220488,10166676,2429120,2192742,HHY,Eastern,Islington
Hightown,62210,150090,35852,0,HTO,North West and Central,Sefton
Hildenborough,75934,92912,67674,0,HLB,Southern,Kent
Hillfoot,37716,75550,10774,0,HLF,Scotland,East Dunbartonshire
Hillington East,37882,63768,41604,0,HLE,Scotland,Glasgow City
Hillington West,73308,74746,58968,0,HLW,Scotland,Glasgow City
Hillside,81888,292016,100930,0,HIL,North West and Central,Sefton
Hilsea,109220,105844,61674,4741,HLS,Southern,Portsmouth
Hinchley Wood,59038,61156,40320,0,HYW,Southern,Surrey
Hinckley (Leics),70088,102412,25084,0,HNK,Eastern,Leicestershire
Hindley,73662,94894,37446,28737,HIN,North West and Central,Wigan
Hinton Admiral,29182,56598,5450,0,HNA,Southern,Hampshire
Hitchin,651848,1004670,324948,101629,HIT,Eastern,Hertfordshire
Hither Green,609240,950358,399780,298459,HGR,Southern,Lewisham
Hockley,177436,178780,273824,0,HOC,Eastern,Essex
Hollingbourne,11612,15964,17074,0,HBN,Southern,Kent
Holmes Chapel,54634,66468,21886,0,HCH,North West and Central,Cheshire East
Holmwood,15048,16010,11614,0,HLM,Southern,Surrey
Holton Heath,12164,7434,3834,0,HOL,Southern,Dorset
Holyhead,49210,82924,6596,232,HHD,Wales and Western,Isle of Anglesey
Holytown,26734,48232,10976,4,HLY,Scotland,North Lanarkshire
Homerton,1034058,1805742,459224,0,HMN,Eastern,Hackney
Honeybourne,13226,45640,5212,0,HYB,Wales and Western,Worcestershire
Honiton,38066,159288,57812,9209,HON,Southern,Devon
Honley,13888,11804,8824,0,HOY,Eastern,Kirklees
Honor Oak Park,603004,1046592,171666,0,HPA,Southern,Lewisham
Hook,80004,162090,75696,0,HOK,Southern,Hampshire
Hooton,262430,146320,63718,70875,HOO,North West and Central,Cheshire West and Chester
Hope (Derbyshire),24244,40990,3280,0,HOP,North West and Central,Derbyshire
Hope (Flintshire),8852,496,2678,0,HPE,Wales and Western,Flintshire
Hopton Heath,270,76,0,0,HPT,Wales and Western,Shropshire
Horden,22758,68326,5774,0,HRE,Eastern,County Durham
Horley,288534,370156,140948,0,HOR,Southern,Surrey
Hornbeam Park,86034,87106,91148,0,HBP,Eastern,North Yorkshire
Hornsey,336762,508902,145136,0,HRN,Eastern,Haringey
Horsforth,257240,206048,97374,958,HRS,Eastern,Leeds
Horsham,431640,777604,453772,64418,HRH,Southern,West Sussex
Horsley,76094,81958,40556,0,HSY,Southern,Surrey
Horton-In-Ribblesdale,3584,14834,0,0,HIR,North West and Central,North Yorkshire
Horwich Parkway,122870,192426,75088,0,HWI,North West and Central,Bolton
Hoscar,582,442,0,0,HSC,North West and Central,Lancashire
Hough Green,60832,76010,29114,0,HGN,North West and Central,Halton
Hounslow,216270,318030,157828,11299,HOU,Southern,Hounslow
Hove,360266,848642,247730,227007,HOV,Southern,Brighton and Hove
Hoveton and Wroxham,38068,60690,13460,0,HXM,Eastern,Norfolk
How Wood (Hertfordshire),4674,4128,1444,0,HWW,North West and Central,Hertfordshire
Howden,16898,52060,6954,0,HOW,Eastern,East Riding of Yorkshire
Howwood (Renfrewshire),12788,22376,5238,0,HOZ,Scotland,Renfrewshire
Hoxton,685380,1297900,208370,0,HOX,Eastern,Hackney
Hoylake,106196,184416,78406,0,HYK,North West and Central,Wirral
Hubberts Bridge,344,126,0,0,HBB,Eastern,Lincolnshire
Hucknall,55866,20966,6332,0,HKN,Eastern,Nottinghamshire
Huddersfield,1087294,1401744,552778,377905,HUD,Eastern,Kirklees
Hull,205522,1639392,148450,46720,HUL,Eastern,"Kingston upon Hull, City of"
Humphrey Park,7994,4128,3422,0,HUP,North West and Central,Trafford
Huncoat,7054,8700,7282,0,HCT,North West and Central,Lancashire
Hungerford,28686,116702,40492,0,HGD,Wales and Western,West Berkshire
Hunmanby,7428,21720,7686,0,HUB,Eastern,North Yorkshire
Huntingdon,250542,545352,154030,31,HUN,Eastern,Cambridgeshire
Huntly,21458,20410,3026,0,HNT,Scotland,Aberdeenshire
Hunts Cross,209692,705680,240208,37818,HNX,North West and Central,Liverpool
Hurst Green,90780,129792,153486,30010,HUR,Southern,Surrey
Hutton Cranswick,5764,16632,9538,0,HUT,Eastern,East Riding of Yorkshire
Huyton,158306,219558,105252,11673,HUY,North West and Central,Knowsley
Hyde Central,23592,19256,8234,0,HYC,North West and Central,Tameside
Hyde North,9658,5426,5136,0,HYT,North West and Central,Tameside
Hykeham,69148,23336,9722,0,HKM,Eastern,Lincolnshire
Hyndland,236794,477850,114996,303573,HYN,Scotland,Glasgow City
Hythe (Essex),43992,103688,30682,0,HYH,Eastern,Essex
Ifield,53950,77316,53400,0,IFI,Southern,West Sussex
Ilford,1374616,2538520,841394,19204,IFD,Eastern,Redbridge
Ilkeston,66190,31998,2838,0,ILN,Eastern,Derbyshire
Ilkley,317820,310776,308164,0,ILK,Eastern,Bradford
Imperial Wharf,797580,1044748,482114,0,IMW,Southern,Hammersmith and Fulham
Ince (Manchester),8522,7516,3674,0,INC,North West and Central,Wigan
Ince and Elton (Cheshire),186,16,0,0,INE,North West and Central,Cheshire West and Chester
Ingatestone,222842,118292,282524,0,INT,Eastern,Essex
Insch,22598,15276,4216,0,INS,Scotland,Aberdeenshire
Invergordon,10482,1644,1182,0,IGD,Scotland,Highland
Invergowrie,3384,922,860,0,ING,Scotland,Perth and Kinross
Inverkeithing,183216,419396,42414,42237,INK,Scotland,Fife
Inverkip,10942,22834,5740,0,INP,Scotland,Inverclyde
Inverness,236306,498054,18868,33187,INV,Scotland,Highland
Invershin,148,62,0,0,INH,Scotland,Highland
Inverurie,93638,107628,41184,0,INR,Scotland,Aberdeenshire
Ipswich,444218,1331666,349802,428427,IPS,Eastern,Suffolk
Irlam,91962,75344,48080,0,IRL,North West and Central,Salford
Irvine,116390,275810,50236,0,IRV,Scotland,North Ayrshire
Isleworth,222546,261280,213178,0,ISL,Southern,Hounslow
Islip,6350,9478,4626,0,ISP,North West and Central,Oxfordshire
Iver,68354,100860,49738,0,IVR,Wales and Western,Buckinghamshire
Ivybridge,5984,50512,10268,0,IVY,Wales and Western,Devon
James Cook University Hospital,9728,13472,3544,0,JCH,Eastern,Middlesbrough
Jewellery Quarter,108558,103708,72222,0,JEQ,North West and Central,Birmingham
Johnston (Pembs),2512,2734,252,0,JOH,Wales and Western,Pembrokeshire
Johnstone (Renfrewshire),174784,370402,91658,0,JHN,Scotland,Renfrewshire
Jordanhill,35076,90716,13380,0,JOR,Scotland,Glasgow City
Kearsley (Manchester),17880,13662,9434,0,KSL,North West and Central,Bolton
Kearsney (Kent),13468,16380,6808,0,KSN,Southern,Kent
Keighley,382670,514782,252548,681,KEI,Eastern,Bradford
Keith,17870,27282,1932,0,KEH,Scotland,Moray
Kelvedon,89976,110120,155536,0,KEL,Eastern,Essex
Kelvindale,6578,18244,12250,0,KVD,Scotland,Glasgow City
Kemble,13936,227284,17880,0,KEM,Wales and Western,Gloucestershire
Kempston Hardwick,1278,1324,552,0,KMH,North West and Central,Bedford
Kempton Park Racecourse,8782,24664,794,0,KMP,Southern,Surrey
Kemsing,5216,4262,0,0,KMS,Southern,Kent
Kemsley,63306,35292,53126,0,KML,Southern,Kent
Kendal,23448,121648,37554,0,KEN,North West and Central,Cumbria
Kenilworth,29980,46808,2172,0,KNW,North West and Central,Warwickshire
Kenley,71726,98908,36756,0,KLY,Southern,Croydon
Kennett,14704,9816,12018,0,KNE,Eastern,Cambridgeshire
Kennishead,15524,39124,7092,0,KNS,Scotland,Glasgow City
Kensal Green,244248,511920,87224,0,KNL,North West and Central,Brent
Kensal Rise,604656,937570,387132,0,KNR,Eastern,Brent
Kensington Olympia,578412,863208,301186,11729,KPA,Southern,Kensington and Chelsea
Kent House,215396,284958,94832,163,KTH,Southern,Bromley
Kentish Town,492088,724676,282446,0,KTN,Eastern,Camden
Kentish Town West,446942,696124,201718,0,KTW,Eastern,Camden
Kenton,224352,515214,199104,0,KNT,North West and Central,Brent
Kents Bank,4204,16282,3470,0,KBK,North West and Central,Cumbria
Kettering,130326,820140,163028,99783,KET,Eastern,North Northamptonshire
Kew Bridge,253990,374594,181360,0,KWB,Southern,Hounslow
Kew Gardens,272802,616276,82482,0,KWG,Eastern,Richmond upon Thames
Keyham,1192,6066,1528,0,KEY,Wales and Western,Plymouth
Keynsham,105822,171738,20918,0,KYN,Wales and Western,Bath and North East Somerset
Kidbrooke,328416,423816,258342,0,KDB,Southern,Greenwich
Kidderminster,185470,320588,293024,0,KID,North West and Central,Worcestershire
Kidsgrove,76242,98184,14978,19602,KDG,North West and Central,Staffordshire
Kidwelly,9388,4428,1728,0,KWL,Wales and Western,Carmarthenshire
Kilburn High Road,120458,376454,89700,0,KBN,North West and Central,Camden
Kildale,142,1134,0,0,KLD,Eastern,North Yorkshire
Kildonan,108,32,0,0,KIL,Scotland,Highland
Kilgetty,6152,2200,20,0,KGT,Wales and Western,Pembrokeshire
Kilmarnock,94168,201526,21204,5304,KMK,Scotland,East Ayrshire
Kilmaurs,12480,27098,6618,0,KLM,Scotland,East Ayrshire
Kilpatrick,13174,28600,6424,0,KPT,Scotland,West Dunbartonshire
Kilwinning,138212,257540,60682,62043,KWN,Scotland,North Ayrshire
Kinbrace,302,68,0,0,KBC,Scotland,Highland
Kingham,18018,131494,13272,0,KGM,Wales and Western,Oxfordshire
Kinghorn,17688,29374,3074,0,KGH,Scotland,Fife
Kings Langley,108404,139952,33430,0,KGL,North West and Central,Hertfordshire
Kings Lynn,147746,461920,74040,349,KLN,Eastern,Norfolk
Kings Norton,179254,221214,136566,0,KNN,North West and Central,Birmingham
Kings Nympton,798,1322,998,0,KGN,Wales and Western,Devon
Kings Park,24284,69588,14602,0,KGP,Scotland,Glasgow City
Kings Sutton,21088,22012,2432,0,KGS,North West and Central,West Northamptonshire
Kingsknowe,5694,4916,604,0,KGE,Scotland,City of Edinburgh
Kingston,961304,1715672,376932,0,KNG,Southern,Kingston upon Thames
Kingswood,40748,42250,18242,0,KND,Southern,Surrey
Kingussie,13302,11788,592,0,KIN,Scotland,Highland
Kintbury,8894,41188,12996,0,KIT,Wales and Western,West Berkshire
Kintore,28218,33104,4846,0,KTR,Scotland,Aberdeenshire
Kirby Cross,9274,14950,12440,0,KBX,Eastern,Essex
Kirk Sandall,23842,23024,13154,0,KKS,Eastern,Doncaster
Kirkby (Merseyside),221836,1249432,428504,48029,KIR,North West and Central,Knowsley
Kirkby Stephen,4248,21464,46,0,KSW,North West and Central,Cumbria
Kirkby-in-Ashfield,52258,29700,7756,0,KKB,Eastern,Nottinghamshire
Kirkby-In-Furness,2758,8378,1426,0,KBF,North West and Central,Cumbria
Kirkcaldy,155554,387780,35518,11887,KDY,Scotland,Fife
Kirkconnel,3254,7904,32,0,KRK,Scotland,Dumfries and Galloway
Kirkdale,243346,403200,204346,103434,KKD,North West and Central,Liverpool
Kirkham and Wesham,60674,184096,24358,4560,KKM,North West and Central,Lancashire
Kirkhill,11776,24536,2564,0,KKH,Scotland,South Lanarkshire
Kirknewton,12634,14088,1302,0,KKN,Scotland,West Lothian
Kirkstall Forge,89500,47860,34626,0,KLF,Eastern,Leeds
Kirkwood,21184,43716,7944,0,KWD,Scotland,North Lanarkshire
Kirton Lindsey,14,54,0,0,KTL,Eastern,North Lincolnshire
Kiveton Bridge,22678,16296,9754,0,KIV,Eastern,Rotherham
Kiveton Park,13460,13830,4822,0,KVP,Eastern,Rotherham
Knaresborough,89382,253216,44642,0,KNA,Eastern,North Yorkshire
Knebworth,124802,130818,61600,0,KBW,Eastern,Hertfordshire
Knighton,5772,3582,298,0,KNI,Wales and Western,Shropshire
Knockholt,46058,44444,20622,0,KCK,Southern,Bromley
Knottingley,72666,43472,20042,0,KNO,Eastern,Wakefield
Knucklas,1034,404,676,0,KNU,Wales and Western,Powys
Knutsford,83668,102006,87130,0,KNF,North West and Central,Cheshire East
Kyle Of Lochalsh,21188,19514,0,0,KYL,Scotland,Highland
Ladybank,17500,21840,2496,2938,LDY,Scotland,Fife
Ladywell,225858,361806,153526,0,LAD,Southern,Lewisham
Laindon,633990,435312,375602,0,LAI,Eastern,Essex
Lairg,2088,872,0,0,LRG,Scotland,Highland
Lake,3144,5494,2936,0,LKE,Southern,Isle of Wight
Lakenheath,182,290,4,0,LAK,Eastern,Suffolk
Lamphey,2444,684,0,0,LAM,Wales and Western,Pembrokeshire
Lanark,48178,83348,12130,0,LNK,Scotland,South Lanarkshire
Lancaster,218570,1257550,183242,261186,LAN,North West and Central,Lancashire
Lancing,202562,372346,156634,0,LAC,Southern,West Sussex
Landywood,36256,48118,17008,0,LAW,North West and Central,Staffordshire
Langbank,9918,23094,12928,0,LGB,Scotland,Renfrewshire
Langho,7500,22718,3470,0,LHO,North West and Central,Lancashire
Langley (Berks),189440,268504,135238,0,LNY,Wales and Western,Slough
Langley Green,32072,42956,33030,0,LGG,North West and Central,Sandwell
Langley Mill,44664,17222,2724,0,LGM,Eastern,Derbyshire
Langside,26612,58080,24934,0,LGS,Scotland,Glasgow City
Langwathby,2812,13376,980,0,LGW,North West and Central,Cumbria
Langwith-Whaley Thorns,7986,3922,360,0,LAG,Eastern,Derbyshire
Lapford,1378,1942,1212,0,LAP,Wales and Western,Devon
Lapworth,7536,6532,37376,0,LPW,North West and Central,Warwickshire
Larbert,137746,240494,46156,0,LBT,Scotland,Falkirk
Largs,62902,181626,10228,0,LAR,Scotland,North Ayrshire
Larkhall,46218,83122,22218,0,LRH,Scotland,South Lanarkshire
Laurencekirk,19772,20848,4766,0,LAU,Scotland,Aberdeenshire
Lawrence Hill,97770,33112,22024,0,LWH,Wales and Western,Bristol
Layton (Lancs),11450,34248,7016,0,LAY,North West and Central,Blackpool
Lazonby and Kirkoswald,1858,7150,1420,0,LZB,North West and Central,Cumbria
Lea Bridge,162644,219220,104014,0,LEB,Eastern,Waltham Forest
Lea Green,95992,196846,45264,0,LEG,North West and Central,St. Helens
Lea Hall,84552,109212,65770,0,LEH,North West and Central,Birmingham
Leagrave,198966,678204,238402,0,LEA,Eastern,Luton
Lealholm,434,3168,5232,0,LHM,Eastern,North Yorkshire
Leamington Spa,642626,852720,160362,127670,LMS,North West and Central,Warwickshire
Leasowe,163152,166080,94754,0,LSW,North West and Central,Wirral
Leatherhead,363520,352948,212530,19938,LHD,Southern,Surrey
Ledbury,48384,85854,28424,37,LED,Wales and Western,Herefordshire
Lee (London),304502,440994,233182,0,LEE,Southern,Lewisham
Leeds,4939318,12163776,2160378,1797861,LDS,Eastern,Leeds
Leicester,753136,2496548,298916,276360,LEI,Eastern,Leicester
Leigh (Kent),9464,14202,6084,0,LIH,Southern,Kent
Leigh-On-Sea,518864,497314,231412,0,LES,Eastern,Southend-on-Sea
Leighton Buzzard,198386,484224,223258,0,LBZ,North West and Central,Central Bedfordshire
Lelant,0,29788,0,0,LEL,Wales and Western,Cornwall
Lelant Saltings,0,568,0,0,LTS,Wales and Western,Cornwall
Lenham,23476,24674,39434,0,LEN,Southern,Kent
Lenzie,109850,236346,75868,0,LNZ,Scotland,East Dunbartonshire
Leominster,90680,84276,56124,0,LEO,Wales and Western,Herefordshire
Letchworth Garden City,400714,588782,199740,0,LET,Eastern,Hertfordshire
Leuchars (For St. Andrews),73072,293770,2700,0,LEU,Scotland,Fife
Levenshulme,158946,159632,65160,0,LVM,North West and Central,Manchester
Lewes,375936,1017588,482200,297464,LWS,Southern,East Sussex
Lewisham,1336516,2426678,1485364,1319619,LEW,Southern,Lewisham
Leyland,75842,204566,31956,0,LEY,North West and Central,Lancashire
