item_number,name,year,theme,subtheme,pieces,minifigures,image_URL,price
630,"Brick Separator, Green",1996,Basic,Supplementaries,1,NA,http://images.brickset.com/sets/images/630-1.jpg,1.99
6318,"Flowers, Trees and Fences",1996,Town,Accessories,49,NA,http://images.brickset.com/sets/images/6318-1.jpg,NA
6331,Patriot Jet,1996,Town,Flight,161,2,http://images.brickset.com/sets/images/6331-1.jpg,NA
6334,Wave Jump Racers,1996,Town,Leisure,181,4,http://images.brickset.com/sets/images/6334-1.jpg,NA
6335,Indy Transport,1996,Town,Racing,397,3,http://images.brickset.com/sets/images/6335-1.jpg,NA
6337,Fast Track Finish,1996,Town,Racing,339,6,http://images.brickset.com/sets/images/6337-1.jpg,NA
6404,Carriage Ride,1996,Town,Paradisa,62,2,http://images.brickset.com/sets/images/6404-1.jpg,NA
6418,Country Club,1996,Town,Paradisa,280,5,http://images.brickset.com/sets/images/6418-1.jpg,NA
6491,Rocket Racer,1996,Time Cruisers,,58,1,http://images.brickset.com/sets/images/6491-1.jpg,NA
6492,Hypno Cruiser,1996,Time Cruisers,,157,2,http://images.brickset.com/sets/images/6492-1.jpg,NA
6493,Flying Time Vessel,1996,Time Cruisers,,237,2,http://images.brickset.com/sets/images/6493-1.jpg,NA
6494,Magic Mountain Time Lab,1996,Time Cruisers,,504,4,http://images.brickset.com/sets/images/6494-1.jpg,NA
6517,Water Jet,1996,Town,Leisure,29,1,http://images.brickset.com/sets/images/6517-1.jpg,NA
6518,Baja Buggy,1996,Town,Coastguard,37,1,http://images.brickset.com/sets/images/6518-1.jpg,NA
6545,Search N' Rescue,1996,Town,Police,286,3,http://images.brickset.com/sets/images/6545-1.jpg,NA
6546,Slick Racer,1996,Town,Racing,39,1,http://images.brickset.com/sets/images/6546-1.jpg,NA
6563,Gator Landing,1996,Town,Leisure,233,3,http://images.brickset.com/sets/images/6563-1.jpg,NA
6581,Dig 'N' Dump,1996,Town,Construction,127,2,http://images.brickset.com/sets/images/6581-1.jpg,NA
6598,Metro PD Station,1996,Town,Police,552,8,http://images.brickset.com/sets/images/6598-1.jpg,NA
6615,Eagle Stunt Flyer,1996,Town,Flight,76,1,http://images.brickset.com/sets/images/6615-1.jpg,NA
6625,Speed Trackers,1996,Town,Police,62,2,http://images.brickset.com/sets/images/6625-1.jpg,NA
6712,Sheriff's Showdown,1996,Western,Cowboys,28,2,http://images.brickset.com/sets/images/6712-1.jpg,NA
6716,Covered Wagon,1996,Western,Cowboys,64,1,http://images.brickset.com/sets/images/6716-1.jpg,NA
6755,Sheriff's Lock-Up,1996,Western,Cowboys,176,4,http://images.brickset.com/sets/images/6755-1.jpg,NA
6761,Bandit's Secret Hide-Out,1996,Western,Cowboys,250,5,http://images.brickset.com/sets/images/6761-1.jpg,NA
6765,Gold City Junction,1996,Western,Cowboys,350,6,http://images.brickset.com/sets/images/6765-1.jpg,NA
6769,Fort Legoredo,1996,Western,Cowboys,687,10,http://images.brickset.com/sets/images/6769-1.jpg,NA
6815,Hovertron,1996,Space,Exploriens,29,1,http://images.brickset.com/sets/images/6815-1.jpg,NA
6854,Alien Fossilizer,1996,Space,Exploriens,53,1,http://images.brickset.com/sets/images/6854-1.jpg,NA
6856,Planetary Decoder,1996,Space,Exploriens,80,1,http://images.brickset.com/sets/images/6856-1.jpg,NA
